release_date,movie,production_budget,domestic_gross,worldwide_gross
12/14/2018,That Way Madness Lies,"$650,000","$1,447","$1,447"
12/14/2018,Mortal Engines,"$100,000,000","$15,951,040","$85,287,417"
12/14/2012,The Hobbit: An Unexpected Journey,"$250,000,000","$303,003,568","$1,017,003,568"
12/14/2007,The Kite Runner,"$20,000,000","$15,800,078","$74,180,745"
12/14/2007,I am Legend,"$150,000,000","$256,393,010","$585,532,684"
12/14/2007,Alvin and the Chipmunks,"$55,000,000","$217,326,974","$362,605,033"
12/14/2007,Goodbye Bafana,"$30,000,000",$0,"$2,717,302"
12/14/2007,Shotgun Stories,"$250,000","$46,026","$284,174"
12/14/2005,King Kong,"$207,000,000","$218,080,025","$550,517,357"
12/14/2005,Los tres entierros de Melquiades Estrada,"$15,000,000","$5,027,684","$13,454,474"
12/14/2001,Not Another Teen Movie,"$15,000,000","$37,882,551","$62,401,343"
12/14/2001,The Other Side of Heaven,"$7,000,000","$4,720,371","$4,720,371"
12/14/2001,Iris,"$5,500,000","$5,580,479","$5,580,479"
12/14/2001,Vanilla Sky,"$70,000,000","$100,614,858","$202,726,605"
12/14/2001,The Royal Tenenbaums,"$28,000,000","$52,353,636","$71,430,876"
12/14/1995,Othello,"$11,000,000","$2,844,379","$2,844,379"
12/14/1984,The Cotton Club,"$48,000,000","$25,928,721","$25,928,721"
12/14/1984,A Passage to India,"$27,500,000","$27,187,653","$27,187,653"
12/14/1984,Dune,"$45,000,000","$27,447,471","$27,447,471"
12/14/1979,1941,"$32,000,000","$34,175,000","$94,875,000"
12/14/1967,In Cold Blood,"$3,500,000","$13,000,000","$13,007,551"
12/14/1957,A Farewell To Arms,"$5,000,000","$11,000,000","$11,017,403"
12/14/1949,Sands of Iwo Jima,"$1,000,000","$7,800,000","$7,800,000"
12/13/2018,Bird Box,"$19,800,000",$0,$0
12/13/2017,Bright,"$90,000,000",$0,$0
12/13/2013,American Hustle,"$40,000,000","$150,117,807","$257,878,294"
12/13/2013,Saving Mr. Banks,"$35,000,000","$83,299,761","$114,962,525"
12/13/2013,Tyler Perry's A Madea Christmas,"$25,000,000","$52,543,354","$52,543,354"
12/13/2013,The Hobbit: The Desolation of Smaug,"$250,000,000","$258,366,855","$960,366,855"
12/13/2011,George Balanchine\'s The Nutcracker,"$19,000,000","$2,119,994","$2,119,994"
12/13/2002,The Jimmy Show,"$1,000,000",$703,$703
12/13/2002,About Schmidt,"$30,000,000","$65,005,217","$107,054,484"
12/13/2002,Star Trek: Nemesis,"$60,000,000","$43,254,409","$67,312,826"
12/13/2002,Drumline,"$20,000,000","$56,398,162","$56,398,162"
12/13/2002,Maid in Manhattan,"$55,000,000","$93,932,896","$163,838,217"
12/13/1996,Jerry Maguire,"$50,000,000","$153,952,592","$274,000,000"
12/13/1996,Mars Attacks!,"$80,000,000","$37,771,017","$101,371,017"
12/13/1989,Driving Miss Daisy,"$7,500,000","$106,593,296","$106,593,296"
12/13/1989,Glory,"$18,000,000","$26,593,580","$26,593,580"
12/12/2014,Top Five,"$12,000,000","$25,317,379","$26,001,741"
12/12/2014,Exodus: Gods and Kings,"$140,000,000","$65,014,513","$268,314,513"
12/12/2014,Inherent Vice,"$20,000,000","$8,110,975","$14,772,346"
12/12/2008,Gran Torino,"$25,000,000","$148,095,302","$274,543,085"
12/12/2008,Delgo,"$40,000,000","$915,840","$915,840"
12/12/2008,The Day the Earth Stood Still,"$80,000,000","$79,366,978","$237,370,350"
12/12/2008,Los CronocrÃ­menes,"$2,600,000","$39,127","$564,474"
12/12/2008,"Che, Part 1: The Argentine","$58,000,000","$1,802,521","$31,627,370"
12/12/2008,Doubt,"$20,000,000","$33,446,470","$53,191,101"
12/12/2008,The Kings of Appletown,"$7,000,000",$0,$0
12/12/2003,Stuck On You,"$55,000,000","$33,832,741","$63,537,164"
12/12/2003,Girl with a Pearl Earring,"$12,000,000","$11,634,362","$43,274,797"
12/12/2003,Something's Gotta Give,"$80,000,000","$124,685,242","$266,685,242"
12/12/2003,The Statement,"$27,000,000","$765,637","$1,545,064"
12/12/1997,Deconstructing Harry,"$20,000,000","$10,686,841","$10,686,841"
12/12/1997,Amistad,"$40,000,000","$44,212,592","$58,250,151"
12/12/1997,Scream 2,"$24,000,000","$101,363,301","$172,363,301"
12/12/1986,The Golden Child,"$12,000,000","$79,817,937","$79,817,937"
12/12/1980,Popeye,"$20,000,000","$49,823,037","$49,823,037"
